Industry,State,Year,Measure
Manufacturing and Processing Plants,Minnesota,2019,269235
Manufacturing and Processing Plants,Minnesota,2018,871847
Manufacturing and Processing Plants,Minnesota,2017,223734
Manufacturing and Processing Plants,Minnesota,2016,191434
Manufacturing and Processing Plants,Minnesota,2015,70089
Manufacturing and Processing Plants,Mississippi,2024,3500
Manufacturing and Processing Plants,Mississippi,2023,2272200
Manufacturing and Processing Plants,Mississippi,2022,171000
Manufacturing and Processing Plants,Mississippi,2021,40147
Manufacturing and Processing Plants,Mississippi,2020,182200
Manufacturing and Processing Plants,Mississippi,2019,60416
Manufacturing and Processing Plants,Mississippi,2018,735182
Manufacturing and Processing Plants,Mississippi,2017,1095
Manufacturing and Processing Plants,Mississippi,2016,67642
Manufacturing and Processing Plants,Mississippi,2015,21314
Manufacturing and Processing Plants,Missouri,2024,62237
Manufacturing and Processing Plants,Missouri,2023,390118
Manufacturing and Processing Plants,Missouri,2022,300224
Manufacturing and Processing Plants,Missouri,2021,321529
Manufacturing and Processing Plants,Missouri,2020,101864
Manufacturing and Processing Plants,Missouri,2019,392946
Manufacturing and Processing Plants,Missouri,2018,424661
Manufacturing and Processing Plants,Missouri,2017,315882
Manufacturing and Processing Plants,Missouri,2016,148370
Manufacturing and Processing Plants,Missouri,2015,325648
Manufacturing and Processing Plants,Montana,2023,1002
Manufacturing and Processing Plants,Montana,2022,26198
Manufacturing and Processing Plants,Montana,2021,208826
Manufacturing and Processing Plants,Montana,2020,3000
Manufacturing and Processing Plants,Montana,2019,785
Manufacturing and Processing Plants,Montana,2018,8000
Manufacturing and Processing Plants,Montana,2017,21903
Manufacturing and Processing Plants,Montana,2016,90746
Manufacturing and Processing Plants,Montana,2015,332
Manufacturing and Processing Plants,Nebraska,2024,7517
Manufacturing and Processing Plants,Nebraska,2023,567684
Manufacturing and Processing Plants,Nebraska,2022,886670
Manufacturing and Processing Plants,Nebraska,2021,18486
Manufacturing and Processing Plants,Nebraska,2020,115591
Manufacturing and Processing Plants,Nebraska,2019,49836
Manufacturing and Processing Plants,Nebraska,2018,49843
Manufacturing and Processing Plants,Nebraska,2017,245793
Manufacturing and Processing Plants,Nebraska,2016,333018
Manufacturing and Processing Plants,Nebraska,2015,74257
Manufacturing and Processing Plants,Nevada,2024,6864
Manufacturing and Processing Plants,Nevada,2023,485368
Manufacturing and Processing Plants,Nevada,2022,138198
Manufacturing and Processing Plants,Nevada,2021,38840
Manufacturing and Processing Plants,Nevada,2020,65753
Manufacturing and Processing Plants,Nevada,2019,111362
Manufacturing and Processing Plants,Nevada,2018,2534
Manufacturing and Processing Plants,Nevada,2017,63211
Manufacturing and Processing Plants,Nevada,2016,6299
Manufacturing and Processing Plants,Nevada,2015,213319
Manufacturing and Processing Plants,New Hampshire,2024,62609
Manufacturing and Processing Plants,New Hampshire,2023,111019
Manufacturing and Processing Plants,New Hampshire,2022,35982
Manufacturing and Processing Plants,New Hampshire,2021,19995
Manufacturing and Processing Plants,New Hampshire,2020,31500
Manufacturing and Processing Plants,New Hampshire,2019,4579
Manufacturing and Processing Plants,New Hampshire,2018,6450
Manufacturing and Processing Plants,New Hampshire,2017,10325
Manufacturing and Processing Plants,New Hampshire,2016,24405
Manufacturing and Processing Plants,New Hampshire,2015,21505
Manufacturing and Processing Plants,New Jersey,2024,6354
Manufacturing and Processing Plants,New Jersey,2023,232211
Manufacturing and Processing Plants,New Jersey,2022,238615
Manufacturing and Processing Plants,New Jersey,2021,60611
Manufacturing and Processing Plants,New Jersey,2020,21889
Manufacturing and Processing Plants,New Jersey,2019,86950
Manufacturing and Processing Plants,New Jersey,2018,127919
Manufacturing and Processing Plants,New Jersey,2017,133886
Manufacturing and Processing Plants,New Jersey,2016,43734
Manufacturing and Processing Plants,New Jersey,2015,75230
Manufacturing and Processing Plants,New Mexico,2024,1493
Manufacturing and Processing Plants,New Mexico,2023,105325
Manufacturing and Processing Plants,New Mexico,2022,553885
Manufacturing and Processing Plants,New Mexico,2021,31428
Manufacturing and Processing Plants,New Mexico,2020,29379
Manufacturing and Processing Plants,New Mexico,2019,6018
Manufacturing and Processing Plants,New Mexico,2018,62882
Manufacturing and Processing Plants,New Mexico,2017,90529
Manufacturing and Processing Plants,New Mexico,2016,89425
Manufacturing and Processing Plants,New Mexico,2015,18009
Manufacturing and Processing Plants,New York,2024,70128
Manufacturing and Processing Plants,New York,2023,458039
Manufacturing and Processing Plants,New York,2022,830779
Manufacturing and Processing Plants,New York,2021,499214
Manufacturing and Processing Plants,New York,2020,695186
Manufacturing and Processing Plants,New York,2019,538086
Manufacturing and Processing Plants,New York,2018,380675
Manufacturing and Processing Plants,New York,2017,298235
Manufacturing and Processing Plants,New York,2016,171898
Manufacturing and Processing Plants,New York,2015,185207
Manufacturing and Processing Plants,North Carolina,2024,408226
Manufacturing and Processing Plants,North Carolina,2023,5300034
Manufacturing and Processing Plants,North Carolina,2022,822185
Manufacturing and Processing Plants,North Carolina,2021,942824
Manufacturing and Processing Plants,North Carolina,2020,454009
Manufacturing and Processing Plants,North Carolina,2019,289477
Manufacturing and Processing Plants,North Carolina,2018,750489
Manufacturing and Processing Plants,North Carolina,2017,502714
Manufacturing and Processing Plants,North Carolina,2016,1361552
Manufacturing and Processing Plants,North Carolina,2015,324609
Manufacturing and Processing Plants,North Dakota,2023,7923
Manufacturing and Processing Plants,North Dakota,2022,131894
Manufacturing and Processing Plants,North Dakota,2021,177633
Manufacturing and Processing Plants,North Dakota,2019,944950
Manufacturing and Processing Plants,North Dakota,2018,771720
Manufacturing and Processing Plants,North Dakota,2017,81927
Manufacturing and Processing Plants,North Dakota,2016,500
Manufacturing and Processing Plants,North Dakota,2015,503057
Manufacturing and Processing Plants,Ohio,2024,521175
Manufacturing and Processing Plants,Ohio,2023,6276454
Manufacturing and Processing Plants,Ohio,2022,6795406
Manufacturing and Processing Plants,Ohio,2021,964377
Manufacturing and Processing Plants,Ohio,2020,754911
Manufacturing and Processing Plants,Ohio,2019,1320825
Manufacturing and Processing Plants,Ohio,2018,1310768
Manufacturing and Processing Plants,Ohio,2017,264409
Manufacturing and Processing Plants,Ohio,2016,181661
Manufacturing and Processing Plants,Ohio,2015,292888
Manufacturing and Processing Plants,Oklahoma,2024,23650
Manufacturing and Processing Plants,Oklahoma,2023,187300
Manufacturing and Processing Plants,Oklahoma,2022,419263
Manufacturing and Processing Plants,Oklahoma,2021,189845
Manufacturing and Processing Plants,Oklahoma,2020,16232
Manufacturing and Processing Plants,Oklahoma,2019,57824
Manufacturing and Processing Plants,Oklahoma,2018,444508
Manufacturing and Processing Plants,Oklahoma,2017,8934
Manufacturing and Processing Plants,Oklahoma,2016,175725
Manufacturing and Processing Plants,Oklahoma,2015,158297
Manufacturing and Processing Plants,Oregon,2024,33481
Manufacturing and Processing Plants,Oregon,2023,91765
Manufacturing and Processing Plants,Oregon,2022,306894
Manufacturing and Processing Plants,Oregon,2021,227521
Manufacturing and Processing Plants,Oregon,2020,144308
Manufacturing and Processing Plants,Oregon,2019,1444376
Manufacturing and Processing Plants,Oregon,2018,400578
Manufacturing and Processing Plants,Oregon,2017,266608
Manufacturing and Processing Plants,Oregon,2016,196015
Manufacturing and Processing Plants,Oregon,2015,127656
Manufacturing and Processing Plants,Pennsylvania,2024,59600
Manufacturing and Processing Plants,Pennsylvania,2023,322417
Manufacturing and Processing Plants,Pennsylvania,2022,89401
Manufacturing and Processing Plants,Pennsylvania,2021,454244
Manufacturing and Processing Plants,Pennsylvania,2020,103943
Manufacturing and Processing Plants,Pennsylvania,2019,111843
Manufacturing and Processing Plants,Pennsylvania,2018,917778
Manufacturing and Processing Plants,Pennsylvania,2017,5916872
Manufacturing and Processing Plants,Pennsylvania,2016,152686
Manufacturing and Processing Plants,Pennsylvania,2015,68244
Manufacturing and Processing Plants,Rhode Island,2022,149879
Manufacturing and Processing Plants,Rhode Island,2021,10500
Manufacturing and Processing Plants,Rhode Island,2020,13500
Manufacturing and Processing Plants,Rhode Island,2019,3000
Manufacturing and Processing Plants,Rhode Island,2018,450000
Manufacturing and Processing Plants,Rhode Island,2016,57000
Manufacturing and Processing Plants,South Carolina,2024,1881744
Manufacturing and Processing Plants,South Carolina,2023,1263676
Manufacturing and Processing Plants,South Carolina,2022,220791
Manufacturing and Processing Plants,South Carolina,2021,353815
Manufacturing and Processing Plants,South Carolina,2020,165899
Manufacturing and Processing Plants,South Carolina,2019,110356
Manufacturing and Processing Plants,South Carolina,2018,815536
Manufacturing and Processing Plants,South Carolina,2017,579772
Manufacturing and Processing Plants,South Carolina,2016,864293
Manufacturing and Processing Plants,South Carolina,2015,298917
Manufacturing and Processing Plants,South Dakota,2024,4983
Manufacturing and Processing Plants,South Dakota,2023,284942
Manufacturing and Processing Plants,South Dakota,2022,103825
Manufacturing and Processing Plants,South Dakota,2021,18483
Manufacturing and Processing Plants,South Dakota,2020,11400
Manufacturing and Processing Plants,South Dakota,2019,7839
Manufacturing and Processing Plants,South Dakota,2018,93336
Manufacturing and Processing Plants,South Dakota,2017,420740
Manufacturing and Processing Plants,South Dakota,2016,2954
Manufacturing and Processing Plants,South Dakota,2015,26280
Manufacturing and Processing Plants,Tennessee,2024,2504068
Manufacturing and Processing Plants,Tennessee,2023,677706
Manufacturing and Processing Plants,Tennessee,2022,3652593
Manufacturing and Processing Plants,Tennessee,2021,1099216
Manufacturing and Processing Plants,Tennessee,2020,169398
Manufacturing and Processing Plants,Tennessee,2019,640578
Manufacturing and Processing Plants,Tennessee,2018,6838591
Manufacturing and Processing Plants,Tennessee,2017,383329
Manufacturing and Processing Plants,Tennessee,2016,294252
Manufacturing and Processing Plants,Tennessee,2015,764443
Manufacturing and Processing Plants,Texas,2024,466175
Manufacturing and Processing Plants,Texas,2023,8411642
Manufacturing and Processing Plants,Texas,2022,30447176
Manufacturing and Processing Plants,Texas,2021,3058235
Manufacturing and Processing Plants,Texas,2020,4953862
Manufacturing and Processing Plants,Texas,2019,11288900
Manufacturing and Processing Plants,Texas,2018,4774945
Manufacturing and Processing Plants,Texas,2017,3947424
Manufacturing and Processing Plants,Texas,2016,1950642
Manufacturing and Processing Plants,Texas,2015,5926711
Manufacturing and Processing Plants,Utah,2024,5500100
Manufacturing and Processing Plants,Utah,2023,318774
Manufacturing and Processing Plants,Utah,2022,530020
Manufacturing and Processing Plants,Utah,2021,2947
Manufacturing and Processing Plants,Utah,2020,334857
Manufacturing and Processing Plants,Utah,2019,44157
Manufacturing and Processing Plants,Utah,2018,78872
Manufacturing and Processing Plants,Utah,2017,9354
Manufacturing and Processing Plants,Utah,2016,4500
Manufacturing and Processing Plants,Utah,2015,61078
Manufacturing and Processing Plants,Vermont,2022,170443
Manufacturing and Processing Plants,Vermont,2021,3000
Manufacturing and Processing Plants,Vermont,2020,2225
Manufacturing and Processing Plants,Vermont,2019,21450
Manufacturing and Processing Plants,Vermont,2018,4800
Manufacturing and Processing Plants,Vermont,2017,19783
Manufacturing and Processing Plants,Vermont,2016,22950
Manufacturing and Processing Plants,Vermont,2015,9945
Manufacturing and Processing Plants,Virginia,2024,47085
Manufacturing and Processing Plants,Virginia,2023,136047
Manufacturing and Processing Plants,Virginia,2022,572623
Manufacturing and Processing Plants,Virginia,2021,133465
Manufacturing and Processing Plants,Virginia,2020,16904
Manufacturing and Processing Plants,Virginia,2019,148482
Manufacturing and Processing Plants,Virginia,2018,177414
Manufacturing and Processing Plants,Virginia,2017,74030
Manufacturing and Processing Plants,Virginia,2016,67592
Manufacturing and Processing Plants,Virginia,2015,65344
Manufacturing and Processing Plants,Washington,2024,20102
Manufacturing and Processing Plants,Washington,2023,1052638
Manufacturing and Processing Plants,Washington,2022,40214
Manufacturing and Processing Plants,Washington,2021,106703
Manufacturing and Processing Plants,Washington,2020,67267
Manufacturing and Processing Plants,Washington,2019,101396
Manufacturing and Processing Plants,Washington,2018,85773
Manufacturing and Processing Plants,Washington,2017,264879
Manufacturing and Processing Plants,Washington,2016,159297
Manufacturing and Processing Plants,Washington,2015,36936
Manufacturing and Processing Plants,West Virginia,2023,2230000
Manufacturing and Processing Plants,West Virginia,2022,71627
Manufacturing and Processing Plants,West Virginia,2021,70000
Manufacturing and Processing Plants,West Virginia,2020,45000
Manufacturing and Processing Plants,West Virginia,2019,258500
Manufacturing and Processing Plants,West Virginia,2018,97650
Manufacturing and Processing Plants,West Virginia,2017,53250
Manufacturing and Processing Plants,West Virginia,2016,262201
Manufacturing and Processing Plants,West Virginia,2015,306
Manufacturing and Processing Plants,Wisconsin,2024,120864
Manufacturing and Processing Plants,Wisconsin,2023,328637
Manufacturing and Processing Plants,Wisconsin,2022,621264
Manufacturing and Processing Plants,Wisconsin,2021,411388
Manufacturing and Processing Plants,Wisconsin,2020,516434
Manufacturing and Processing Plants,Wisconsin,2019,1614584
Manufacturing and Processing Plants,Wisconsin,2018,261625
Manufacturing and Processing Plants,Wisconsin,2017,259609
Manufacturing and Processing Plants,Wisconsin,2016,222821
Manufacturing and Processing Plants,Wisconsin,2015,279279
Manufacturing and Processing Plants,Wyoming,2024,46047
Manufacturing and Processing Plants,Wyoming,2023,17305
Manufacturing and Processing Plants,Wyoming,2022,400000
Manufacturing and Processing Plants,Wyoming,2021,14000
Manufacturing and Processing Plants,Wyoming,2020,7800
Manufacturing and Processing Plants,Wyoming,2019,84100
Manufacturing and Processing Plants,Wyoming,2018,1614000
Manufacturing and Processing Plants,Wyoming,2016,36300
Manufacturing and Processing Plants,Wyoming,2015,302000
Warehouses (Manufacturer owned),Alabama,2023,93910
Warehouses (Manufacturer owned),Alabama,2022,93484
Warehouses (Manufacturer owned),Alabama,2021,81542
Warehouses (Manufacturer owned),Alabama,2020,58896
Warehouses (Manufacturer owned),Alabama,2018,80000
Warehouses (Manufacturer owned),Alabama,2017,67862
Warehouses (Manufacturer owned),Alabama,2016,8000
Warehouses (Manufacturer owned),Alabama,2015,34900
Warehouses (Manufacturer owned),Alaska,2019,19383
Warehouses (Manufacturer owned),Arizona,2024,39096
Warehouses (Manufacturer owned),Arizona,2022,248724
Warehouses (Manufacturer owned),Arizona,2021,116601
Warehouses (Manufacturer owned),Arizona,2020,64000
Warehouses (Manufacturer owned),Arizona,2019,30053
Warehouses (Manufacturer owned),Arizona,2018,36189
Warehouses (Manufacturer owned),Arizona,2016,9860
Warehouses (Manufacturer owned),Arizona,2015,51015
Warehouses (Manufacturer owned),Arkansas,2022,36000
Warehouses (Manufacturer owned),Arkansas,2020,31200
Warehouses (Manufacturer owned),Arkansas,2019,21500
Warehouses (Manufacturer owned),Arkansas,2018,30000
Warehouses (Manufacturer owned),Arkansas,2017,2600
Warehouses (Manufacturer owned),Arkansas,2016,38000
Warehouses (Manufacturer owned),California,2023,38812
Warehouses (Manufacturer owned),California,2022,19680
Warehouses (Manufacturer owned),California,2021,83550
Warehouses (Manufacturer owned),California,2020,15544
Warehouses (Manufacturer owned),California,2018,88300
Warehouses (Manufacturer owned),California,2017,230728
Warehouses (Manufacturer owned),California,2016,148742
Warehouses (Manufacturer owned),California,2015,111850
Warehouses (Manufacturer owned),Colorado,2022,3000
Warehouses (Manufacturer owned),Colorado,2021,54125
Warehouses (Manufacturer owned),Colorado,2020,60280
Warehouses (Manufacturer owned),Colorado,2019,30000
Warehouses (Manufacturer owned),Colorado,2017,12400
Warehouses (Manufacturer owned),Colorado,2016,25500
Warehouses (Manufacturer owned),Colorado,2015,21366
Warehouses (Manufacturer owned),Connecticut,2022,25000
Warehouses (Manufacturer owned),Connecticut,2021,7000
Warehouses (Manufacturer owned),Connecticut,2020,6000
Warehouses (Manufacturer owned),Connecticut,2019,5649
Warehouses (Manufacturer owned),Connecticut,2018,34000
Warehouses (Manufacturer owned),Connecticut,2017,4470
Warehouses (Manufacturer owned),Connecticut,2016,76725
Warehouses (Manufacturer owned),Connecticut,2015,1030
Warehouses (Manufacturer owned),Delaware,2021,32000
Warehouses (Manufacturer owned),Delaware,2017,10800
Warehouses (Manufacturer owned),Florida,2024,20029
Warehouses (Manufacturer owned),Florida,2023,93331
Warehouses (Manufacturer owned),Florida,2022,80778
Warehouses (Manufacturer owned),Florida,2021,22220
Warehouses (Manufacturer owned),Florida,2020,69955
Warehouses (Manufacturer owned),Florida,2019,70000
Warehouses (Manufacturer owned),Florida,2018,45900
Warehouses (Manufacturer owned),Florida,2017,6789
Warehouses (Manufacturer owned),Florida,2016,17399
Warehouses (Manufacturer owned),Florida,2015,19778
Warehouses (Manufacturer owned),Georgia,2023,290000
Warehouses (Manufacturer owned),Georgia,2022,3000
Warehouses (Manufacturer owned),Georgia,2021,56209
Warehouses (Manufacturer owned),Georgia,2020,123000
Warehouses (Manufacturer owned),Georgia,2019,68000
Warehouses (Manufacturer owned),Georgia,2018,171800
Warehouses (Manufacturer owned),Georgia,2017,31735
Warehouses (Manufacturer owned),Georgia,2016,3750
Warehouses (Manufacturer owned),Georgia,2015,119859
Warehouses (Manufacturer owned),Hawaii,2019,1750
Warehouses (Manufacturer owned),Hawaii,2017,8500
Warehouses (Manufacturer owned),Idaho,2024,114222
Warehouses (Manufacturer owned),Idaho,2022,45830
Warehouses (Manufacturer owned),Idaho,2021,24767
Warehouses (Manufacturer owned),Idaho,2019,10535
Warehouses (Manufacturer owned),Idaho,2018,20000
Warehouses (Manufacturer owned),Illinois,2024,22140
Warehouses (Manufacturer owned),Illinois,2023,107500
Warehouses (Manufacturer owned),Illinois,2022,120000
Warehouses (Manufacturer owned),Illinois,2021,25000
Warehouses (Manufacturer owned),Illinois,2020,13000
Warehouses (Manufacturer owned),Illinois,2019,78300
Warehouses (Manufacturer owned),Illinois,2018,2000
Warehouses (Manufacturer owned),Illinois,2017,37585
Warehouses (Manufacturer owned),Illinois,2016,62693
Warehouses (Manufacturer owned),Illinois,2015,44000
Warehouses (Manufacturer owned),Indiana,2023,72000
Warehouses (Manufacturer owned),Indiana,2022,150000
Warehouses (Manufacturer owned),Indiana,2021,37780
Warehouses (Manufacturer owned),Indiana,2020,76790
Warehouses (Manufacturer owned),Indiana,2019,115500
Warehouses (Manufacturer owned),Indiana,2018,109870
Warehouses (Manufacturer owned),Indiana,2017,76006
Warehouses (Manufacturer owned),Indiana,2015,5900
Warehouses (Manufacturer owned),Iowa,2023,122800
Warehouses (Manufacturer owned),Iowa,2022,12200
Warehouses (Manufacturer owned),Iowa,2021,23050
Warehouses (Manufacturer owned),Iowa,2020,6367
Warehouses (Manufacturer owned),Iowa,2019,67000
Warehouses (Manufacturer owned),Iowa,2018,54972
Warehouses (Manufacturer owned),Iowa,2017,190940
Warehouses (Manufacturer owned),Iowa,2016,14900
Warehouses (Manufacturer owned),Iowa,2015,13440
Warehouses (Manufacturer owned),Kansas,2023,124488
Warehouses (Manufacturer owned),Kansas,2022,62000
Warehouses (Manufacturer owned),Kansas,2021,67300
Warehouses (Manufacturer owned),Kansas,2020,7100
Warehouses (Manufacturer owned),Kansas,2019,181860
Warehouses (Manufacturer owned),Kansas,2018,77227
Warehouses (Manufacturer owned),Kansas,2017,105315
Warehouses (Manufacturer owned),Kansas,2016,3000
Warehouses (Manufacturer owned),Kansas,2015,8000
Warehouses (Manufacturer owned),Kentucky,2022,128961
Warehouses (Manufacturer owned),Kentucky,2021,147847
Warehouses (Manufacturer owned),Kentucky,2020,25778
Warehouses (Manufacturer owned),Kentucky,2019,94648
Warehouses (Manufacturer owned),Kentucky,2018,136205
Warehouses (Manufacturer owned),Kentucky,2017,62393
Warehouses (Manufacturer owned),Kentucky,2016,34400
Warehouses (Manufacturer owned),Kentucky,2015,15500
Warehouses (Manufacturer owned),Louisiana,2024,108300
Warehouses (Manufacturer owned),Louisiana,2022,15000
Warehouses (Manufacturer owned),Louisiana,2020,2240
Warehouses (Manufacturer owned),Louisiana,2017,54021
Warehouses (Manufacturer owned),Maine,2020,4000
Warehouses (Manufacturer owned),Maine,2016,3960
Warehouses (Manufacturer owned),Maryland,2021,30000
Warehouses (Manufacturer owned),Maryland,2020,13000
Warehouses (Manufacturer owned),Maryland,2019,30000
Warehouses (Manufacturer owned),Maryland,2017,6250
Warehouses (Manufacturer owned),Maryland,2015,35500
Warehouses (Manufacturer owned),Massachusetts,2022,53000
Warehouses (Manufacturer owned),Massachusetts,2021,71126
Warehouses (Manufacturer owned),Massachusetts,2020,94500
Warehouses (Manufacturer owned),Massachusetts,2019,43015
Warehouses (Manufacturer owned),Massachusetts,2018,12163
Warehouses (Manufacturer owned),Massachusetts,2017,20000
Warehouses (Manufacturer owned),Massachusetts,2016,16000
Warehouses (Manufacturer owned),Massachusetts,2015,28925
Warehouses (Manufacturer owned),Michigan,2024,20000
Warehouses (Manufacturer owned),Michigan,2023,30000
Warehouses (Manufacturer owned),Michigan,2022,59000
Warehouses (Manufacturer owned),Michigan,2021,30200
Warehouses (Manufacturer owned),Michigan,2019,86000
Warehouses (Manufacturer owned),Michigan,2018,194300
Warehouses (Manufacturer owned),Michigan,2017,88900
Warehouses (Manufacturer owned),Michigan,2016,177391
Warehouses (Manufacturer owned),Michigan,2015,19500
Warehouses (Manufacturer owned),Minnesota,2023,68000
Warehouses (Manufacturer owned),Minnesota,2022,69292
Warehouses (Manufacturer owned),Minnesota,2021,23375
Warehouses (Manufacturer owned),Minnesota,2020,47610
Warehouses (Manufacturer owned),Minnesota,2019,121750
Warehouses (Manufacturer owned),Minnesota,2018,52781
Warehouses (Manufacturer owned),Minnesota,2017,31950
Warehouses (Manufacturer owned),Minnesota,2016,82970
Warehouses (Manufacturer owned),Minnesota,2015,47200
Warehouses (Manufacturer owned),Mississippi,2021,130000
Warehouses (Manufacturer owned),Mississippi,2018,40000
Warehouses (Manufacturer owned),Missouri,2022,99000
Warehouses (Manufacturer owned),Missouri,2021,155337
Warehouses (Manufacturer owned),Missouri,2020,84800
Warehouses (Manufacturer owned),Missouri,2019,10000
Warehouses (Manufacturer owned),Missouri,2017,51535
Warehouses (Manufacturer owned),Missouri,2016,79000
Warehouses (Manufacturer owned),Missouri,2015,134600
Warehouses (Manufacturer owned),Montana,2022,25000
Warehouses (Manufacturer owned),Montana,2021,6050
Warehouses (Manufacturer owned),Montana,2019,7000
Warehouses (Manufacturer owned),Montana,2016,1500
Warehouses (Manufacturer owned),Nebraska,2024,21673
Warehouses (Manufacturer owned),Nebraska,2023,20000
Warehouses (Manufacturer owned),Nebraska,2020,60000
Warehouses (Manufacturer owned),Nebraska,2019,35680
Warehouses (Manufacturer owned),Nebraska,2018,30000
Warehouses (Manufacturer owned),Nebraska,2017,24000
Warehouses (Manufacturer owned),Nebraska,2015,15000
Warehouses (Manufacturer owned),Nevada,2024,24042
Warehouses (Manufacturer owned),Nevada,2020,3200
Warehouses (Manufacturer owned),Nevada,2019,5824
Warehouses (Manufacturer owned),Nevada,2018,2048
Warehouses (Manufacturer owned),Nevada,2017,2000
Warehouses (Manufacturer owned),Nevada,2016,3000
Warehouses (Manufacturer owned),New Hampshire,2021,15000
Warehouses (Manufacturer owned),New Hampshire,2019,8000
Warehouses (Manufacturer owned),New Hampshire,2016,2000
Warehouses (Manufacturer owned),New Hampshire,2015,7000
Warehouses (Manufacturer owned),New Jersey,2023,11325
Warehouses (Manufacturer owned),New Jersey,2022,27175
Warehouses (Manufacturer owned),New Jersey,2021,25000
Warehouses (Manufacturer owned),New Jersey,2020,18360
Warehouses (Manufacturer owned),New Jersey,2019,19550
Warehouses (Manufacturer owned),New Jersey,2018,39000
Warehouses (Manufacturer owned),New Jersey,2017,126600
Warehouses (Manufacturer owned),New Jersey,2016,97800
Warehouses (Manufacturer owned),New Jersey,2015,63800
Warehouses (Manufacturer owned),New York,2022,60620
Warehouses (Manufacturer owned),New York,2021,150300
Warehouses (Manufacturer owned),New York,2020,55000
Warehouses (Manufacturer owned),New York,2019,49000
Warehouses (Manufacturer owned),New York,2018,71500
Warehouses (Manufacturer owned),New York,2017,84700
Warehouses (Manufacturer owned),New York,2016,137000
Warehouses (Manufacturer owned),New York,2015,17700
Warehouses (Manufacturer owned),North Carolina,2024,62000
Warehouses (Manufacturer owned),North Carolina,2023,65870
Warehouses (Manufacturer owned),North Carolina,2022,212684
Warehouses (Manufacturer owned),North Carolina,2021,15000
Warehouses (Manufacturer owned),North Carolina,2020,10000
Warehouses (Manufacturer owned),North Carolina,2019,64779
Warehouses (Manufacturer owned),North Carolina,2018,134171
Warehouses (Manufacturer owned),North Carolina,2017,48234
Warehouses (Manufacturer owned),North Carolina,2016,87010
Warehouses (Manufacturer owned),North Carolina,2015,17975
Warehouses (Manufacturer owned),North Dakota,2021,9100
Warehouses (Manufacturer owned),North Dakota,2020,20000
Warehouses (Manufacturer owned),North Dakota,2017,1250
Warehouses (Manufacturer owned),Ohio,2023,19793
Warehouses (Manufacturer owned),Ohio,2022,170940
Warehouses (Manufacturer owned),Ohio,2021,231287
Warehouses (Manufacturer owned),Ohio,2020,39700
Warehouses (Manufacturer owned),Ohio,2019,41595
Warehouses (Manufacturer owned),Ohio,2018,41400
Warehouses (Manufacturer owned),Ohio,2017,137485
Warehouses (Manufacturer owned),Ohio,2016,104600
Warehouses (Manufacturer owned),Ohio,2015,70202
Warehouses (Manufacturer owned),Oklahoma,2021,32951
Warehouses (Manufacturer owned),Oklahoma,2020,27000
Warehouses (Manufacturer owned),Oklahoma,2018,64000
Warehouses (Manufacturer owned),Oregon,2022,12000
Warehouses (Manufacturer owned),Oregon,2019,22000
Warehouses (Manufacturer owned),Oregon,2018,12191
Warehouses (Manufacturer owned),Oregon,2017,12103
Warehouses (Manufacturer owned),Oregon,2016,62746
Warehouses (Manufacturer owned),Oregon,2015,2700
Warehouses (Manufacturer owned),Pennsylvania,2022,2900
Warehouses (Manufacturer owned),Pennsylvania,2021,96000
Warehouses (Manufacturer owned),Pennsylvania,2020,13333
Warehouses (Manufacturer owned),Pennsylvania,2019,60000
Warehouses (Manufacturer owned),Pennsylvania,2018,187465
Warehouses (Manufacturer owned),Pennsylvania,2017,137000
Warehouses (Manufacturer owned),Pennsylvania,2016,102000
Warehouses (Manufacturer owned),Pennsylvania,2015,79500
Warehouses (Manufacturer owned),Rhode Island,2020,10400
Warehouses (Manufacturer owned),Rhode Island,2016,26200
Warehouses (Manufacturer owned),Rhode Island,2015,5000
Warehouses (Manufacturer owned),South Carolina,2023,32500
Warehouses (Manufacturer owned),South Carolina,2022,15000
Warehouses (Manufacturer owned),South Carolina,2021,364450
Warehouses (Manufacturer owned),South Carolina,2020,2800
Warehouses (Manufacturer owned),South Carolina,2019,20300
Warehouses (Manufacturer owned),South Carolina,2018,93500
Warehouses (Manufacturer owned),South Carolina,2017,240739
Warehouses (Manufacturer owned),South Carolina,2016,74000
Warehouses (Manufacturer owned),South Carolina,2015,173500
Warehouses (Manufacturer owned),South Dakota,2023,2900
Warehouses (Manufacturer owned),South Dakota,2018,32500
Warehouses (Manufacturer owned),South Dakota,2016,9948
Warehouses (Manufacturer owned),Tennessee,2023,206000
Warehouses (Manufacturer owned),Tennessee,2022,125814
Warehouses (Manufacturer owned),Tennessee,2021,277045
Warehouses (Manufacturer owned),Tennessee,2020,315716
Warehouses (Manufacturer owned),Tennessee,2019,14143
Warehouses (Manufacturer owned),Tennessee,2018,122000
Warehouses (Manufacturer owned),Tennessee,2017,37110
Warehouses (Manufacturer owned),Tennessee,2016,271950
Warehouses (Manufacturer owned),Tennessee,2015,79800
Warehouses (Manufacturer owned),Texas,2024,87600
Warehouses (Manufacturer owned),Texas,2023,335259
Warehouses (Manufacturer owned),Texas,2022,438957
Warehouses (Manufacturer owned),Texas,2021,286393
Warehouses (Manufacturer owned),Texas,2020,885285
Warehouses (Manufacturer owned),Texas,2019,229450
Warehouses (Manufacturer owned),Texas,2018,13497
Warehouses (Manufacturer owned),Texas,2017,184085
Warehouses (Manufacturer owned),Texas,2016,212600
